File,Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Rank,Men,Women,ShareWomen,Sample_size,Full_time,Part_time,Full_time_year_round,College_jobs,Non_college_jobs,Low_wage_jobs
all-ages.csv,1100,GENERAL AGRICULTURE,Agriculture & Natural Resources,128148,90245,74078,2423,0.026147106,50000,34000,80000,,,,,,,,,,,
all-ages.csv,1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,95326,76865,64240,2266,0.028636059,54000,36000,80000,,,,,,,,,,,
all-ages.csv,1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,33955,26321,22810,821,0.030248324,63000,40000,98000,,,,,,,,,,,
all-ages.csv,1103,ANIMAL SCIENCES,Agriculture & Natural Resources,103549,81177,64937,3619,0.0426789,46000,30000,72000,,,,,,,,,,,
all-ages.csv,1104,FOOD SCIENCE,Agriculture & Natural Resources,24280,17281,12722,894,0.049188446,62000,38500,90000,,,,,,,,,,,
all-ages.csv,1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,79409,63043,51077,2070,0.031790887,50000,35000,75000,,,,,,,,,,,
all-ages.csv,1106,SOIL SCIENCE,Agriculture & Natural Resources,6586,4926,4042,264,0.050867052,63000,39400,88000,,,,,,,,,,,
all-ages.csv,1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,8549,6392,5074,261,0.039230422,52000,35000,75000,,,,,,,,,,,
all-ages.csv,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,106106,87602,65238,4736,0.051289827,52000,38000,75000,,,,,,,,,,,
all-ages.csv,1302,FORESTRY,Agriculture & Natural Resources,69447,48228,39613,2144,0.042563329,58000,40500,80000,,,,,,,,,,,
all-ages.csv,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279,52000,37100,75000,,,,,,,,,,,
all-ages.csv,1401,ARCHITECTURE,Engineering,294692,216770,163020,20394,0.085991129,63000,40400,93500,,,,,,,,,,,
all-ages.csv,1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,103740,75798,50530,5525,0.067938959,46000,32000,71000,,,,,,,,,,,
all-ages.csv,1901,COMMUNICATIONS,Communications & Journalism,987676,790696,595739,54390,0.064360314,50000,35000,80000,,,,,,,,,,,
all-ages.csv,1902,JOURNALISM,Communications & Journalism,418104,314438,235407,20754,0.061916752,50000,35000,80000,,,,,,,,,,,
all-ages.csv,1903,MASS MEDIA,Communications & Journalism,211213,170474,125489,15431,0.08300476,48000,32000,70000,,,,,,,,,,,
all-ages.csv,1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,186829,147433,111552,10624,0.067216257,50000,34000,75000,,,,,,,,,,,
all-ages.csv,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,62141,49609,37261,4609,0.085008669,50000,34500,75000,,,,,,,,,,,
all-ages.csv,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,253782,218248,189950,11945,0.051891239,65000,45000,90000,,,,,,,,,,,
all-ages.csv,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,29317,22828,18747,2265,0.090264217,60000,40000,85000,,,,,,,,,,,
all-ages.csv,2102,COMPUTER SCIENCE,Computers & Mathematics,783292,656372,561052,34196,0.049518657,78000,51000,105000,,,,,,,,,,,
all-ages.csv,2105,INFORMATION SCIENCES,Computers & Mathematics,77805,66393,57604,3704,0.052841063,68000,46200,95000,,,,,,,,,,,
all-ages.csv,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,39362,32366,28156,2626,0.075045725,55000,40000,80000,,,,,,,,,,,
all-ages.csv,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,51771,44071,35954,2748,0.05869412,55000,36000,80000,,,,,,,,,,,
all-ages.csv,2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,42325,33388,25780,1941,0.0549407,40000,26200,60000,,,,,,,,,,,
all-ages.csv,2300,GENERAL EDUCATION,Education,1438867,843693,591863,38742,0.043903517,43000,32000,59000,,,,,,,,,,,
all-ages.csv,2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,4037,3113,2468,0,0,58000,44750,79000,,,,,,,,,,,
all-ages.csv,2303,SCHOOL STUDENT COUNSELING,Education,2396,1492,1093,169,0.101745936,41000,33200,50000,,,,,,,,,,,
all-ages.csv,2304,ELEMENTARY EDUCATION,Education,1446701,819393,501786,32685,0.038359164,40000,31000,50000,,,,,,,,,,,
all-ages.csv,2305,MATHEMATICS TEACHER EDUCATION,Education,68808,47203,29494,1610,0.032983017,43000,34000,60000,,,,,,,,,,,
all-ages.csv,2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,281661,193542,136343,9389,0.046266958,48400,34000,66500,,,,,,,,,,,
all-ages.csv,2307,EARLY CHILDHOOD EDUCATION,Education,157079,113460,71133,5890,0.049350649,35300,27000,45800,,,,,,,,,,,
all-ages.csv,2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,56477,36224,24817,1596,0.042199894,46000,35000,61000,,,,,,,,,,,
all-ages.csv,2309,SECONDARY TEACHER EDUCATION,Education,224262,129486,88917,5925,0.043755677,45000,34000,60000,,,,,,,,,,,
all-ages.csv,2310,SPECIAL NEEDS EDUCATION,Education,149689,108272,71615,5357,0.047144655,42000,34000,53000,,,,,,,,,,,
all-ages.csv,2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,127022,78785,51632,3800,0.046013199,45000,33000,64000,,,,,,,,,,,
all-ages.csv,2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,88067,58885,37892,2032,0.033356863,40000,30000,51000,,,,,,,,,,,
all-ages.csv,2313,LANGUAGE AND DRAMA EDUCATION,Education,181445,111347,67651,5624,0.048080293,42000,32000,54000,,,,,,,,,,,
all-ages.csv,2314,ART AND MUSIC EDUCATION,Education,231861,155159,94756,6629,0.040973373,42600,32000,56000,,,,,,,,,,,
all-ages.csv,2399,MISCELLANEOUS EDUCATION,Education,225553,126054,91322,5145,0.039215238,50000,35600,71000,,,,,,,,,,,
all-ages.csv,2400,GENERAL ENGINEERING,Engineering,503080,359172,312023,17986,0.047688237,75000,50000,1.00E+05,,,,,,,,,,,
all-ages.csv,2401,AEROSPACE ENGINEERING,Engineering,65734,44944,38491,1969,0.041971309,80000,58000,110000,,,,,,,,,,,
all-ages.csv,2402,BIOLOGICAL ENGINEERING,Engineering,32748,24270,18621,1521,0.058974061,62000,40000,91000,,,,,,,,,,,
all-ages.csv,2403,ARCHITECTURAL ENGINEERING,Engineering,19587,13713,11180,1017,0.06904277,78000,50000,102000,,,,,,,,,,,
all-ages.csv,2404,BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,0.079035834,65000,40000,96000,,,,,,,,,,,
all-ages.csv,2405,CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,0.046261361,86000,60000,120000,,,,,,,,,,,
all-ages.csv,2406,CIVIL ENGINEERING,Engineering,358593,262831,220528,14823,0.053386589,78000,55000,105000,,,,,,,,,,,
all-ages.csv,2407,COMPUTER ENGINEERING,Engineering,154160,128742,111025,7456,0.054743829,80000,60000,107000,,,,,,,,,,,
all-ages.csv,2408,ELECTRICAL ENGINEERING,Engineering,671647,489965,422317,26064,0.050508789,88000,60000,116000,,,,,,,,,,,
all-ages.csv,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,20582,14909,12257,683,0.043804515,65000,45000,1.00E+05,,,,,,,,,,,
all-ages.csv,2410,ENVIRONMENTAL ENGINEERING,Engineering,13016,9849,8104,472,0.045732003,70000,50000,95000,,,,,,,,,,,
all-ages.csv,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,6264,4120,3350,0,0,85000,55000,125000,,,,,,,,,,,
all-ages.csv,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,138366,101273,85014,5498,0.051493383,75000,50000,101000,,,,,,,,,,,
all-ages.csv,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,21430,14687,11871,933,0.059731114,78000,55000,105000,,,,,,,,,,,
all-ages.csv,2414,MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,0.043843856,80000,59000,110000,,,,,,,,,,,
all-ages.csv,2415,METALLURGICAL ENGINEERING,Engineering,12818,6939,5462,326,0.044872677,96000,65000,123000,,,,,,,,,,,
all-ages.csv,2416,MINING AND MINERAL ENGINEERING,Engineering,10746,7416,6419,366,0.047031611,92000,52000,124000,,,,,,,,,,,
all-ages.csv,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,16094,10690,9226,449,0.040308825,97000,60000,125000,,,,,,,,,,,
all-ages.csv,2418,NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,0.067159424,95000,65000,128000,,,,,,,,,,,
all-ages.csv,2419,PETROLEUM ENGINEERING,Engineering,19631,14002,11636,617,0.042205349,125000,75000,210000,,,,,,,,,,,
all-ages.csv,2499,MISCELLANEOUS ENGINEERING,Engineering,57006,43906,37194,2744,0.058821008,70000,50000,1.00E+05,,,,,,,,,,,
all-ages.csv,2500,ENGINEERING TECHNOLOGIES,Engineering,37382,30102,25651,1475,0.046711214,63000,40000,93000,,,,,,,,,,,
all-ages.csv,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,47098,27275,22104,1577,0.054658256,74000,50000,107000,,,,,,,,,,,
all-ages.csv,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,94697,73737,64157,4572,0.058384094,67000,46900,91000,,,,,,,,,,,
all-ages.csv,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,82142,65401,57266,3431,0.049846002,70000,48000,98000,,,,,,,,,,,
all-ages.csv,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,29348,24190,21273,1101,0.043533273,60000,40000,82000,,,,,,,,,,,
all-ages.csv,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,0.060196821,63000,42000,90000,,,,,,,,,,,
all-ages.csv,2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,75791,45657,30428,4043,0.081348089,48000,30000,70000,,,,,,,,,,,
all-ages.csv,2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,236342,153654,99459,9598,0.058792542,48000,33500,69000,,,,,,,,,,,
all-ages.csv,2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,57793,34696,23046,2707,0.072373874,45000,30000,75000,,,,,,,,,,,
all-ages.csv,2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,402038,241585,154167,14273,0.055784849,40500,30000,60000,,,,,,,,,,,
all-ages.csv,3201,COURT REPORTING,Law & Public Policy,9330,7270,6143,518,0.066512583,50000,34000,75000,,,,,,,,,,,
all-ages.csv,3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy,67037,49259,37254,3699,0.069847804,48000,34000,70000,,,,,,,,,,,
all-ages.csv,3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,1098647,708882,482229,52248,0.068645304,50000,32900,75000,,,,,,,,,,,
all-ages.csv,3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,59211,44913,29628,3569,0.07361495,40000,28800,65000,,,,,,,,,,,
all-ages.csv,3401,LIBERAL ARTS,Humanities & Liberal Arts,601221,404932,296792,29348,0.067578521,50000,33000,75000,,,,,,,,,,,
all-ages.csv,3402,HUMANITIES,Humanities & Liberal Arts,46188,29971,19460,2530,0.077843759,46700,30000,70000,,,,,,,,,,,
all-ages.csv,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.094842992,40000,30000,55000,,,,,,,,,,,
all-ages.csv,3600,BIOLOGY,Biology & Life Science,839454,583079,422788,36757,0.05930117,51000,35000,80000,,,,,,,,,,,
all-ages.csv,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,75322,52594,37103,4056,0.071597529,53000,33000,82000,,,,,,,,,,,
all-ages.csv,3602,BOTANY,Biology & Life Science,14135,9284,6333,327,0.034023515,50000,32000,75000,,,,,,,,,,,
all-ages.csv,3603,MOLECULAR BIOLOGY,Biology & Life Science,28197,20221,13366,1303,0.060537075,45000,30000,70000,,,,,,,,,,,
all-ages.csv,3604,ECOLOGY,Biology & Life Science,45368,36708,25677,1888,0.048916986,47500,32000,73000,,,,,,,,,,,
all-ages.csv,3605,GENETICS,Biology & Life Science,6362,4747,3498,206,0.041590955,48000,33000,80000,,,,,,,,,,,
all-ages.csv,3606,MICROBIOLOGY,Biology & Life Science,68885,45422,33990,2435,0.050880749,60000,40000,85000,,,,,,,,,,,
all-ages.csv,3607,PHARMACOLOGY,Biology & Life Science,5015,3481,2579,57,0.016110797,60000,35000,105000,,,,,,,,,,,
all-ages.csv,3608,PHYSIOLOGY,Biology & Life Science,43984,31394,20207,1692,0.051139455,50000,30000,75000,,,,,,,,,,,
all-ages.csv,3609,ZOOLOGY,Biology & Life Science,55395,35714,26152,1815,0.0483626,55000,34000,85000,,,,,,,,,,,
all-ages.csv,3611,NEUROSCIENCE,Biology & Life Science,13676,8987,5446,665,0.068897638,35000,28000,52000,,,,,,,,,,,
all-ages.csv,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,29389,22298,16508,1114,0.047582436,52000,33500,72800,,,,,,,,,,,
all-ages.csv,3700,MATHEMATICS,Computers & Mathematics,432806,280902,209838,15701,0.05293608,66000,42000,1.00E+05,,,,,,,,,,,
all-ages.csv,3701,APPLIED MATHEMATICS,Computers & Mathematics,19112,15136,12109,892,0.055652608,70000,47000,106000,,,,,,,,,,,
all-ages.csv,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,24806,18808,14468,1138,0.057054046,70000,43000,102000,,,,,,,,,,,
all-ages.csv,3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,4315,1650,1708,187,0.101796407,64000,39750,90000,,,,,,,,,,,
all-ages.csv,4000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,45199,35706,26038,2990,0.077268968,43000,32000,55000,,,,,,,,,,,
all-ages.csv,4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,56580,43114,27499,3462,0.074330127,45000,30000,69000,,,,,,,,,,,
all-ages.csv,4002,NUTRITION SCIENCES,Health,64534,43878,28112,2961,0.06321655,49500,34000,69000,,,,,,,,,,,
all-ages.csv,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,7184,5874,5039,150,0.024900398,92000,53000,136000,,,,,,,,,,,
all-ages.csv,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,6898,5527,3639,284,0.048872827,53000,31500,93000,,,,,,,,,,,
all-ages.csv,4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,61871,43312,31078,3030,0.065383453,45000,33000,67000,,,,,,,,,,,
all-ages.csv,4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,350409,286683,204242,14108,0.046902999,44000,30000,60000,,,,,,,,,,,
all-ages.csv,4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,205763,138734,95429,11252,0.075020335,45000,30000,70000,,,,,,,,,,,
all-ages.csv,4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,232865,164827,121606,7317,0.042505112,40000,27000,56000,,,,,,,,,,,
all-ages.csv,5000,PHYSICAL SCIENCES,Physical Sciences,8856,5872,4961,238,0.038952537,60000,38000,89000,,,,,,,,,,,
all-ages.csv,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,4700,3400,2447,320,0.086021505,80000,40000,106000,,,,,,,,,,,
all-ages.csv,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,14051,11252,9098,429,0.036726308,60000,39000,90000,,,,,,,,,,,
all-ages.csv,5003,CHEMISTRY,Physical Sciences,308062,198075,153308,11468,0.054728624,59000,38700,90000,,,,,,,,,,,
all-ages.csv,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,107902,75698,59262,5272,0.065110535,65000,42000,1.00E+05,,,,,,,,,,,
all-ages.csv,5005,GEOSCIENCES,Physical Sciences,8267,6129,5020,274,0.042792441,57000,36000,80000,,,,,,,,,,,
all-ages.csv,5006,OCEANOGRAPHY,Physical Sciences,10741,7882,6508,449,0.053895091,55000,40000,90000,,,,,,,,,,,
all-ages.csv,5007,PHYSICS,Physical Sciences,122620,80797,60812,4440,0.052090055,70000,40000,110000,,,,,,,,,,,
all-ages.csv,5008,MATERIALS SCIENCE,Engineering,7208,5866,4505,134,0.022333333,75000,60000,1.00E+05,,,,,,,,,,,
all-ages.csv,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,427953,308461,238933,14613,0.045231124,56000,38000,85000,,,,,,,,,,,
all-ages.csv,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,12166,9560,7238,718,0.069857949,62000,45000,80000,,,,,,,,,,,
all-ages.csv,5200,PSYCHOLOGY,Psychology & Social Work,1484075,1055854,736817,79066,0.069666584,45000,31000,68000,,,,,,,,,,,
all-ages.csv,5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,14041,8751,5763,716,0.07563114,40000,33000,70000,,,,,,,,,,,
all-ages.csv,5202,CLINICAL PSYCHOLOGY,Psychology & Social Work,7638,5128,3297,587,0.102712161,45000,26100,62000,,,,,,,,,,,
all-ages.csv,5203,COUNSELING PSYCHOLOGY,Psychology & Social Work,17633,13071,8888,954,0.06802139,39000,25000,50000,,,,,,,,,,,
all-ages.csv,5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,17969,11878,8631,1084,0.08362907,62000,40000,84000,,,,,,,,,,,
all-ages.csv,5206,SOCIAL PSYCHOLOGY,Psychology & Social Work,10871,6897,5226,660,0.087336245,47000,35000,70000,,,,,,,,,,,
all-ages.csv,5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,34102,23921,15688,2137,0.082009364,45000,30000,70000,,,,,,,,,,,
all-ages.csv,5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,757141,613369,517599,35037,0.054035589,50000,35000,74000,,,,,,,,,,,
all-ages.csv,5401,PUBLIC ADMINISTRATION,Law & Public Policy,54636,37879,31262,2836,0.069654918,56000,40000,85000,,,,,,,,,,,
all-ages.csv,5402,PUBLIC POLICY,Law & Public Policy,14782,11147,8196,959,0.079216917,60000,38000,90000,,,,,,,,,,,
all-ages.csv,5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,81786,61402,44959,4794,0.072421294,38000,29000,52000,,,,,,,,,,,
all-ages.csv,5404,SOCIAL WORK,Psychology & Social Work,319163,225081,164020,14208,0.059375901,40000,30000,53000,,,,,,,,,,,
all-ages.csv,5500,GENERAL SOCIAL SCIENCES,Social Science,127363,80165,57036,6132,0.071056931,50000,35000,75000,,,,,,,,,,,
all-ages.csv,5501,ECONOMICS,Social Science,757616,535446,430580,34974,0.061312717,69000,42000,110000,,,,,,,,,,,
all-ages.csv,5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,143087,102399,66046,8684,0.078175778,43000,30000,68000,,,,,,,,,,,
all-ages.csv,5503,CRIMINOLOGY,Social Science,75085,59534,48763,4106,0.06451917,49000,35000,72000,,,,,,,,,,,
all-ages.csv,5504,GEOGRAPHY,Social Science,115423,83671,63070,6202,0.06900849,54000,38300,78000,,,,,,,,,,,
all-ages.csv,5505,INTERNATIONAL RELATIONS,Social Science,77371,56564,42091,4278,0.07031327,55000,40000,89000,,,,,,,,,,,
all-ages.csv,5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science,748956,541630,421761,40376,0.069373855,58000,38000,90000,,,,,,,,,,,
